company_id,name,industry,employees_count,linkedin_followers
1,Unified Mentor,E-Learning Providers,51-200,"42,049"
2,Tata Consultancy Services,IT Services and IT Consulting,"10,001+","15,234,184"
3,Bechtel Corporation,Construction,"10,001+","1,085,287"
4,Tata Consultancy Services,IT Services and IT Consulting,"10,001+","15,234,184"
5,Ajackus,IT Services and IT Consulting,51-200,"9,025"
6,"Infosoft, Inc.",Staffing and Recruiting,201-500,"25,738"
7,avua,"Technology, Information and Internet",51-200,"215,121"
8,Unified Mentor,E-Learning Providers,51-200,"42,049"
9,Soul AI,Software Development,11-50,"8,090"
10,YO HR Consultancy,Business Consulting and Services,11-50,"137,037"
11,Dreamwave AI,"Technology, Information and Internet",2-10,"67,622"
12,Arthan,Business Consulting and Services,51-200,"120,929"
13,FedEx ACC,"Technology, Information and Internet","501-1,000","135,244"
14,NuvoRetail,Business Consulting and Services,51-200,"115,715"
15,Unified Mentor,E-Learning Providers,51-200,"42,049"
16,Tata Consultancy Services,IT Services and IT Consulting,"10,001+","15,234,193"
17,MyCaptain,E-Learning Providers,51-200,"57,552"
18,Live Connections,Human Resources Services,"501-1,000","329,374"
19,Norstella,Information Services,"1,001-5,000","34,550"
20,ConsultBae Jobs,IT Services and IT Consulting,51-200,"85,313"
21,Turing,IT Services and IT Consulting,"501-1,000","357,758"
22,YO HR Consultancy,Business Consulting and Services,11-50,"137,037"
23,"Sky Systems, Inc. (SkySys)",IT Services and IT Consulting,11-50,"7,209"
24,WinZO,Entertainment Providers,51-200,"95,405"
25,Sheffield Haworth,Business Consulting and Services,201-500,"68,307"
26,Wipro,IT Services and IT Consulting,"10,001+","9,112,535"
27,WIN Home Inspection,Consumer Services,201-500,"171,600"
28,Wishup.co,Business Consulting and Services,201-500,"95,557"
29,Hudle,"Health, Wellness & Fitness",51-200,"43,543"
30,Fresh Prints,Retail Apparel and Fashion,201-500,"57,157"
31,CodersBrain,IT Services and IT Consulting,201-500,"318,203"
32,Dhampur Bio Organics Ltd.,Food and Beverage Services,"1,001-5,000","8,737"
33,WeCredit,Financial Services,201-500,"1,413"
34,bluCognition,Information Technology & Services,201-500,"88,353"
35,Turing,IT Services and IT Consulting,"501-1,000","357,758"
36,Axtria - Ingenious Insights,Software Development,"1,001-5,000","241,113"
37,Databricks,Software Development,"5,001-10,000","689,713"
38,ITSource Technologies Limited,IT Services and IT Consulting,"1,001-5,000","18,612"
39,Tech Mahindra,IT Services and IT Consulting,"10,001+","6,057,078"
40,ConsultBae Jobs,IT Services and IT Consulting,51-200,"85,323"
41,Barclays,Financial Services,"10,001+","1,766,451"
43,Axtria - Ingenious Insights,Software Development,"1,001-5,000","241,113"
44,Innefu Labs Pvt. Ltd.,IT Services and IT Consulting,51-200,"8,683"
45,Thriwe,Strategic Management Services,201-500,"18,839"
46,Aryng,Business Consulting and Services,11-50,"38,521"
47,Sureminds Solutions Private Limited,Staffing and Recruiting,"501-1,000","47,893"
48,Fiinovation,Financial Services,51-200,"7,521"
49,Mace,Construction,"5,001-10,000","521,160"
50,Neem,"Technology, Information and Internet",201-500,"22,218"
51,SAPster IT Consulting,IT Services and IT Consulting,11-50,781
52,SequelString AI Private Limited,IT Services and IT Consulting,11-50,"1,592"
53,Doctor Insta,Wellness and Fitness Services,51-200,"3,589"
54,CredHive,Financial Services,2-10,"15,347"
55,toolz4biz,"Technology, Information and Internet",11-50,814
56,Indisquad,Staffing and Recruiting,11-50,"22,264"
57,EXL,IT Services and IT Consulting,"10,001+","919,403"
58,Egnyte,Software Development,"501-1,000","146,462"
59,Aryng,Business Consulting and Services,11-50,"38,514"
60,Aryng,Business Consulting and Services,11-50,"38,514"
61,Sheffield Haworth,Business Consulting and Services,201-500,"68,301"
62,6sense,Software Development,"1,001-5,000","83,458"
63,Turing,IT Services and IT Consulting,"501-1,000","357,751"
64,5X,Data Infrastructure and Analytics,51-200,"14,908"
65,6sense,Software Development,"1,001-5,000","83,458"
66,Claroty,Computer and Network Security,"501-1,000","42,318"
67,Johnson Controls,Industrial Machinery Manufacturing,"10,001+","1,394,345"
68,Turing,IT Services and IT Consulting,"501-1,000","357,752"
69,Turing,IT Services and IT Consulting,"501-1,000","357,752"
70,6sense,Software Development,"1,001-5,000","83,458"
71,Acme Services,Human Resources Services,"501-1,000","376,303"
72,Eaton,"Appliances, Electrical, and Electronics Manufacturing","10,001+","1,589,158"
73,Emerson,Industrial Machinery Manufacturing,"10,001+","1,135,483"
74,Johnson Controls,Industrial Machinery Manufacturing,"10,001+","1,394,345"
75,Turing,IT Services and IT Consulting,"501-1,000","357,752"
76,Turing,IT Services and IT Consulting,"501-1,000","357,752"
77,Prodigal,Software Development,51-200,"9,473"
78,Barclays,Financial Services,"10,001+","1,766,442"
79,Barclays,Financial Services,"10,001+","1,766,442"
80,Tiyasha Software Private Limited,IT Services and IT Consulting,11-50,"3,152"
81,Spiceworks,Software Development,201-500,"40,915"
82,HMH Tech India,E-Learning Providers,"501-1,000","2,480"
83,ISS | Institutional Shareholder Services,Financial Services,"1,001-5,000","69,030"
84,Johnson Controls,Industrial Machinery Manufacturing,"10,001+","1,394,345"
85,Turing,IT Services and IT Consulting,"501-1,000","357,752"
86,Turing,IT Services and IT Consulting,"501-1,000","357,752"
87,IBM,IT Services and IT Consulting,"10,001+","16,612,648"
88,IBM,IT Services and IT Consulting,"10,001+","16,612,648"
89,SAS,Software Development,"10,001+","885,280"
90,Uplers,IT Services and IT Consulting,"1,001-5,000","1,088,646"
91,Optical Arc Pvt. Ltd.,IT Services and IT Consulting,11-50,"3,257"
92,dentsu,Advertising Services,"10,001+","1,294,089"
94,Johnson Controls,Industrial Machinery Manufacturing,"10,001+","1,394,345"
95,Turing,IT Services and IT Consulting,"501-1,000","357,752"
96,Turing,IT Services and IT Consulting,"501-1,000","357,752"
97,IBM,IT Services and IT Consulting,"10,001+","16,612,650"
98,Emerson,Industrial Machinery Manufacturing,"10,001+","1,135,484"
99,Super Scholar,Education Administration Programs,11-50,"28,803"
100,"Comscore, Inc.",Software Development,"1,001-5,000","71,106"
101,Exusia,Business Consulting and Services,201-500,"28,584"
102,DWS Group,Financial Services,"1,001-5,000","146,069"
103,Exusia,Business Consulting and Services,201-500,"28,584"
104,Turing,IT Services and IT Consulting,"501-1,000","357,752"
105,Turing,IT Services and IT Consulting,"501-1,000","357,752"
106,Genpact,Business Consulting and Services,"10,001+","4,058,951"
107,Cactus Communications,Software Development,"1,001-5,000","550,656"
109,Barclays,Financial Services,"10,001+","1,766,443"
110,ESSENWARE PRIVATE LIMITED,Information Technology & Services,51-200,"111,713"
112,EPAM Systems,IT Services and IT Consulting,"10,001+","1,400,912"
113,Barclays,Financial Services,"10,001+","1,766,443"
114,Turing,IT Services and IT Consulting,"501-1,000","357,752"
115,Turing,IT Services and IT Consulting,"501-1,000","357,752"
116,IBM,IT Services and IT Consulting,"10,001+","16,612,657"
117,Tacnique,"Technology, Information and Internet",51-200,"5,216"
118,"Comscore, Inc.",Software Development,"1,001-5,000","71,106"
119,IDFC FIRST Bank,Banking,"10,001+","1,273,826"
120,TresVista,Financial Services,"1,001-5,000","102,758"
121,Citi,Financial Services,"10,001+","4,302,197"
122,Infosys BPM,IT Services and IT Consulting,"10,001+","1,460,064"
123,Nomura,Financial Services,"10,001+","500,853"
124,Revolut,Financial Services,"5,001-10,000","974,202"
125,YO HR Consultancy,Business Consulting and Services,11-50,"136,986"
126,Revolut,Financial Services,"5,001-10,000","974,202"
127,Thermo Fisher Scientific,Biotechnology Research,"10,001+","1,551,271"
128,noon,Retail,"5,001-10,000","1,437,273"
129,TripsyGames,Mobile Gaming Apps,2-10,"3,199"
130,Understanding Recruitment,Staffing and Recruiting,51-200,"402,772"
131,DP World,"Transportation, Logistics, Supply Chain and Storage","10,001+","1,220,640"
132,Lotus Interworks,Software Development,201-500,"231,030"
133,PW (PhysicsWallah),E-Learning Providers,"5,001-10,000","589,282"
134,TELUS International,IT Services and IT Consulting,"10,001+","494,668"
135,TaskUs,Outsourcing and Offshoring Consulting,"10,001+","280,004"
136,Cision,Public Relations and Communications Services,"1,001-5,000","92,228"
137,Wishup.co,Business Consulting and Services,201-500,"95,551"
138,BenchPoint,Staffing and Recruiting,2-10,"7,939"
139,UBS,Financial Services,"10,001+","1,555,752"
140,Tata Technologies,IT Services and IT Consulting,"10,001+","1,857,041"
141,Tata Consultancy Services,IT Services and IT Consulting,"10,001+","15,234,235"
142,Amazon,Software Development,"10,001+","31,252,654"
143,Birlasoft,IT Services and IT Consulting,"10,001+","556,050"
144,EY,Professional Services,"10,001+","8,972,252"
145,Deutsche Bank,Financial Services,"10,001+","2,434,942"
146,Schneider Electric,Automation Machinery Manufacturing,"10,001+","4,257,203"
147,Tata Consultancy Services,IT Services and IT Consulting,"10,001+","15,234,238"
148,Baker Hughes,Oil and Gas,"10,001+","2,391,925"
149,Philips,Hospitals and Health Care,"10,001+","2,461,357"
152,PwC India,Business Consulting and Services,"10,001+","1,601,545"
153,Mastercard,IT Services and IT Consulting,"10,001+","1,550,886"
155,Bajaj Finserv,Financial Services,"10,001+","1,011,642"
156,EY,Professional Services,"10,001+","8,972,254"
157,Infosys,IT Services and IT Consulting,"10,001+","8,892,830"
158,Cognizant,IT Services and IT Consulting,"10,001+","7,390,839"
159,Citi,Financial Services,"10,001+","4,302,232"
160,bp,Oil and Gas,"10,001+","3,544,798"
162,Cognizant,IT Services and IT Consulting,"10,001+","7,390,839"
164,Tata Technologies,IT Services and IT Consulting,"10,001+","1,857,042"
165,Infosys,IT Services and IT Consulting,"10,001+","8,892,834"
166,Wipro,IT Services and IT Consulting,"10,001+","9,112,589"
167,EXL,IT Services and IT Consulting,"10,001+","919,444"
168,Zebra Technologies,IT Services and IT Consulting,"10,001+","344,324"
169,EY,Professional Services,"10,001+","8,972,259"
170,Google,Software Development,"10,001+","33,254,803"
171,Unified Mentor,E-Learning Providers,51-200,"42,046"
172,Creditsafe Technology,IT Services and IT Consulting,51-200,"49,617"
173,Sanofi,Pharmaceutical Manufacturing,"10,001+","4,010,275"
174,DAZN,Spectator Sports,"1,001-5,000","178,720"
175,"Infosoft, Inc.",Staffing and Recruiting,201-500,"25,694"
176,avua,"Technology, Information and Internet",51-200,"214,947"
177,Dr. Reddy's Laboratories,Pharmaceutical Manufacturing,"10,001+","1,163,113"
178,Unified Mentor,E-Learning Providers,51-200,"42,046"
179,Tata Consultancy Services,IT Services and IT Consulting,"10,001+","15,234,011"
180,Sanofi,Pharmaceutical Manufacturing,"10,001+","4,010,275"
181,Tata Consultancy Services,IT Services and IT Consulting,"10,001+","15,234,011"
182,Career Services @ Newton School,E-Learning Providers,201-500,146
183,Birlasoft,IT Services and IT Consulting,"10,001+","556,026"
184,Dr. Reddy's Laboratories,Pharmaceutical Manufacturing,"10,001+","1,163,113"
185,Unified Mentor,E-Learning Providers,51-200,"42,046"
186,Tata Consultancy Services,IT Services and IT Consulting,"10,001+","15,234,011"
187,Sanofi,Pharmaceutical Manufacturing,"10,001+","4,010,275"
188,Tata Consultancy Services,IT Services and IT Consulting,"10,001+","15,234,011"
189,Career Services @ Newton School,E-Learning Providers,201-500,146
190,Birlasoft,IT Services and IT Consulting,"10,001+","556,026"
191,NxtWave,Education Administration Programs,"1,001-5,000","232,690"
192,Birlasoft,IT Services and IT Consulting,"10,001+","556,026"
193,ICICI Bank,Banking,"10,001+","3,461,129"
194,Dr. Reddy's Laboratories,Pharmaceutical Manufacturing,"10,001+","1,163,114"
195,Birlasoft,IT Services and IT Consulting,"10,001+","556,027"
196,Birlasoft,IT Services and IT Consulting,"10,001+","556,027"
197,Tata Consultancy Services,IT Services and IT Consulting,"10,001+","15,234,016"
198,PharmaScroll,Research Services,51-200,"8,516"
199,BinTech Group LLC,IT Services and IT Consulting,51-200,"12,749"
200,Norstella,Information Services,"1,001-5,000","34,539"
201,Tata Consultancy Services,IT Services and IT Consulting,"10,001+","15,234,021"
202,Google,Software Development,"10,001+","33,254,819"
203,YO HR Consultancy,Business Consulting and Services,11-50,"137,019"
204,LTIMindtree,IT Services and IT Consulting,"10,001+","3,917,926"
205,myGwork - LGBTQ+ Business Community,"Technology, Information and Internet",11-50,"140,552"
206,Sheffield Haworth,Business Consulting and Services,201-500,"68,303"
207,Birlasoft,IT Services and IT Consulting,"10,001+","556,027"
208,TalentPulse Consultants,Business Consulting and Services,11-50,"14,112"
209,NCR Atleos,Banking,"10,001+","43,026"
210,Fresh Prints,Retail Apparel and Fashion,201-500,"57,156"
211,Wipro,IT Services and IT Consulting,"10,001+","9,112,384"
212,Google,Software Development,"10,001+","33,254,823"
213,Tata Consultancy Services,IT Services and IT Consulting,"10,001+","15,234,030"
214,Movate,IT Services and IT Consulting,"10,001+","378,134"
215,Clinchfactor Solutions,"Technology, Information and Internet",51-200,"7,255"
216,myGwork - LGBTQ+ Business Community,"Technology, Information and Internet",11-50,"140,552"
217,Fusion Plus Solutions Inc,IT Services and IT Consulting,51-200,"8,756"
218,Mphasis,IT Services and IT Consulting,"10,001+","930,189"
219,Wipro,IT Services and IT Consulting,"10,001+","9,112,388"
220,Tech Mahindra,IT Services and IT Consulting,"10,001+","6,056,966"
221,C1 Global Innovation & Capability Center,IT Services and IT Consulting,"1,001-5,000","10,383"
222,Google,Software Development,"10,001+","33,254,827"
224,bluCognition,Information Technology & Services,201-500,"88,351"
225,Birlasoft,IT Services and IT Consulting,"10,001+","556,027"
226,Fusion Plus Solutions Inc,IT Services and IT Consulting,51-200,"8,756"
227,Wipro,IT Services and IT Consulting,"10,001+","9,112,390"
228,NCR Atleos,Banking,"10,001+","43,026"
229,NCR Atleos,Banking,"10,001+","43,026"
230,AKS ProTalent,Human Resources Services,11-50,"467,260"
231,"TWO95 International, Inc",Staffing and Recruiting,51-200,"154,662"
232,Cloud Counselage Pvt. Ltd.,IT Services and IT Consulting,"10,001+","164,872"
233,Dreamwave AI,"Technology, Information and Internet",2-10,"67,624"
234,Ajackus,IT Services and IT Consulting,51-200,"9,025"
235,"Infosoft, Inc.",Staffing and Recruiting,201-500,"25,757"
236,YO HR Consultancy,Business Consulting and Services,11-50,"137,055"
237,Unified Mentor,E-Learning Providers,51-200,"42,052"
238,Soul AI,Software Development,11-50,"8,091"
239,Turing,IT Services and IT Consulting,"501-1,000","357,759"
240,MyCaptain,E-Learning Providers,51-200,"57,552"
241,Norstella,Information Services,"1,001-5,000","34,556"
242,ConsultBae Jobs,IT Services and IT Consulting,51-200,"85,402"
243,Wishup.co,Business Consulting and Services,201-500,"95,559"
244,Ipseity Group,Information Technology & Services,11-50,663
245,Unified Mentor,E-Learning Providers,51-200,"42,052"
246,Fresh Prints,Retail Apparel and Fashion,201-500,"57,158"
247,YO HR Consultancy,Business Consulting and Services,11-50,"137,055"
248,Sheffield Haworth,Business Consulting and Services,201-500,"68,309"
249,CodersBrain,IT Services and IT Consulting,201-500,"318,207"
251,Unified Mentor,E-Learning Providers,51-200,"42,052"
253,ConsultBae Jobs,IT Services and IT Consulting,51-200,"85,410"
258,Aryng,Business Consulting and Services,11-50,"38,522"
259,Sureminds Solutions Private Limited,Staffing and Recruiting,"501-1,000","47,893"
260,Hypersonix Inc.,Software Development,51-200,"109,543"
261,Naukripay group,Human Resources Services,"501-1,000","14,797"
262,toolz4biz,"Technology, Information and Internet",11-50,816
264,Pi Square Technologies,Automotive,201-500,"23,629"
265,Aryng,Business Consulting and Services,11-50,"38,522"
266,Sureminds Solutions Private Limited,Staffing and Recruiting,"501-1,000","47,893"
267,Hypersonix Inc.,Software Development,51-200,"109,543"
268,Naukripay group,Human Resources Services,"501-1,000","14,797"
269,toolz4biz,"Technology, Information and Internet",11-50,816
271,Pi Square Technologies,Automotive,201-500,"23,629"
272,Telamon HR Solutions,Staffing and Recruiting,11-50,"35,387"
273,TaskUs,Outsourcing and Offshoring Consulting,"10,001+","280,016"
275,Merkle Singapore,Advertising Services,11-50,"39,099"
277,Talentica Software,Software Development,"501-1,000","66,996"
278,YO HR Consultancy,Business Consulting and Services,11-50,"137,060"
279,ConsultBae Jobs,IT Services and IT Consulting,51-200,"85,421"
280,Telamon HR Solutions,Staffing and Recruiting,11-50,"35,387"
282,Uplimit,Software Development,11-50,"7,840"
283,Hypersonix Inc.,Software Development,51-200,"109,543"
284,Soul AI,Software Development,11-50,"8,091"
285,Zigsaw,Community Services,11-50,"286,616"
287,ConsultBae Jobs,IT Services and IT Consulting,51-200,"85,425"
289,Unified Mentor,E-Learning Providers,51-200,"42,052"
290,Lotus Interworks,Software Development,201-500,"231,135"
292,ConsultBae Jobs,IT Services and IT Consulting,51-200,"85,452"
293,Clinchfactor Solutions,"Technology, Information and Internet",51-200,"7,255"
294,Unified Mentor,E-Learning Providers,51-200,"42,052"
295,Google,Software Development,"10,001+","33,255,116"
296,Jio Platforms Limited (JPL),"Technology, Information and Internet",51-200,"122,837"
297,Groww,Financial Services,"501-1,000","481,845"
298,AKS ProTalent,Human Resources Services,11-50,"467,274"
299,Tata Consultancy Services,IT Services and IT Consulting,"10,001+","15,234,318"
301,Crescent Techservices,IT Services and IT Consulting,51-200,"24,714"
302,Tata Consultancy Services,IT Services and IT Consulting,"10,001+","15,234,319"
306,Unified Mentor,E-Learning Providers,51-200,"42,052"
308,Soul AI,Software Development,11-50,"8,091"
309,Tata Consultancy Services,IT Services and IT Consulting,"10,001+","15,234,319"
310,Tata Consultancy Services,IT Services and IT Consulting,"10,001+","15,234,319"
311,Northern Trust,Financial Services,"10,001+","475,716"
312,ConsultBae Jobs,IT Services and IT Consulting,51-200,"85,461"
313,Ather Energy,Motor Vehicle Manufacturing,"1,001-5,000","465,857"
314,Biocon Biologics,Biotechnology Research,"5,001-10,000","409,598"
315,Unified Mentor,E-Learning Providers,51-200,"42,052"
316,"Sunrise Systems, Inc.",IT Services and IT Consulting,"501-1,000","107,753"
317,Apica,Software Development,51-200,"11,194"
318,Norstella,Information Services,"1,001-5,000","34,558"
319,Wishup.co,Business Consulting and Services,201-500,"95,561"
320,Google,Software Development,"10,001+","33,255,124"
321,Google,Software Development,"10,001+","33,255,124"
322,LSEG (London Stock Exchange Group),Financial Services,"10,001+","382,005"
323,dentsu,Advertising Services,"10,001+","1,294,120"
324,Epsilon India,Advertising Services,"1,001-5,000","397,433"
325,Rojgar Connection,Staffing and Recruiting,51-200,219
326,5paisa,Financial Services,"501-1,000","49,172"
327,sliQue Robotics,Software Development,11-50,"14,868"
328,myGwork - LGBTQ+ Business Community,"Technology, Information and Internet",11-50,"140,562"
329,Fresh Prints,Retail Apparel and Fashion,201-500,"57,159"
330,Masai,Higher Education,201-500,"87,507"
331,Tata Consultancy Services,IT Services and IT Consulting,"10,001+","15,234,329"
333,Wissen Infotech,IT Services and IT Consulting,"5,001-10,000","69,734"
334,Tech Mahindra,IT Services and IT Consulting,"10,001+","6,057,167"
335,Infosys,IT Services and IT Consulting,"10,001+","8,892,891"
336,myGwork - LGBTQ+ Business Community,"Technology, Information and Internet",11-50,"140,562"
337,Tata Consultancy Services,IT Services and IT Consulting,"10,001+","15,234,334"
338,Jio,Telecommunications,"10,001+","1,133,607"
339,Travel Centric Technology,IT Services and IT Consulting,51-200,680
340,Digimoksha Solutions,IT Services and IT Consulting,11-50,"2,773"
341,DBS Bank,Banking,"10,001+","936,696"
342,Xoxoday (by Giift),Software Development,201-500,"50,023"
343,redBus,"Technology, Information and Internet","501-1,000","312,210"
344,Just Energy India,Services for Renewable Energy,201-500,"1,314"
345,ConsultBae Jobs,IT Services and IT Consulting,51-200,"85,479"
346,Hudson's Bay Company India,Retail,"1,001-5,000","8,108"
