job_id,company_id,location,designation,details_id
1,1,India,Data Analytics Intern,1
2,2,"Delhi, India",Python Developer,2
3,3,"Delhi, Delhi, India",Software Analyst - Power BI,3
4,4,"Delhi, India",Postgres DB,4
5,5,India,Data Analyst,5
6,6,India,Python Developers,6
7,7,APAC,Junior Software Engineer,7
8,8,India,Data Analytics Intern,8
9,9,India,Python Developer,9
10,10,India,Python Data Analyst,10
11,11,India,Data Scientist,11
12,12,"Delhi, India",Data Scientist,12
13,13,"Delhi, Delhi, India",Data Analyst - Associate/Analyst,13
14,14,"Dwarka, Delhi, India",Data Engineer (SQL) Intern,14
15,15,India,Data Analytics Intern,15
16,16,"New Delhi, Delhi, India",DB2 Database Administrator,16
17,17,India,SQL Mentor,17
18,18,"Delhi, India",Data Engineer,18
19,19,India,Data and Analytics Support Engineer,19
20,20,India,Junior Database Administrator (Fresher),20
21,21,India,Remote Data Science Analyst (Python),21
22,22,India,Python Data Analyst - Contract,22
23,23,"Delhi, India",Data Engineer,23
24,24,"New Delhi, Delhi, India",Data Analyst,24
25,25,India,Data Analyst / Data Administrator,25
26,26,"Delhi, India",Administrator,26
27,27,Greater Delhi Area,Data Analyst,27
28,28,India,Analyst,28
29,29,"New Delhi, Delhi, India",Partner Growth Executive,29
30,30,India,Data Analyst,30
31,31,India,Data analyst_Dream hiring,31
32,32,"New Delhi, Delhi, India",Senior Dotnet Developer,32
33,33,"Delhi, Delhi, India",WeCredit - Python Developer - Flask/Django,33
34,34,India,Data Scientist,34
35,35,India,Research Analyst,35
36,36,"Delhi, India",Manager - Data Science,36
37,37,"Delhi, India",Solutions Architect : Data & AI,37
38,38,"Delhi, Delhi, India",Software Engineer-C++ Python,38
39,39,India,Python Data Engineer/ Immediate joiner(Python- Airflow-SQL),39
40,40,India,Business Analyst,40
41,41,"Delhi, Delhi, India",Analyst,41
43,43,"Delhi, India",Manager - Data Science,43
44,44,"Delhi, Delhi, India",Innefu Labs - Python Developer - Flask/Django,44
45,45,"Delhi, India",DevOps Manager,45
46,46,India,Data Analyst,46
47,47,India,SQL Developer,47
