designation,comapany,employeecount,followers,level,totalapplicants,location,industry
Data Analyst Intern,Unified Mentor,51-200 employees,"42,052 followers",Internship,India · 3 hours ago · Over 100 applicants,India,E-Learning Providers 51-200 employees 322 on LinkedIn
Data Analyst,Lotus Interworks,201-500 employees,"231,135 followers","Full-time
Matches your job preferences, job type is Full-time.",India · 14 hours ago · Over 100 applicants,India,Software Development 201-500 employees 261 on LinkedIn
Data Analyst Trainee // Fresh Batch_,,11-50 employees,"7,782 followers",Remote,India · 41 minutes ago · 20 applicants,India,"Technology, Information and Internet 11-50 employees 2 on LinkedIn"
Junior Data Analyst,ConsultBae Jobs,51-200 employees,"85,452 followers","Full-time
Matches your job preferences, job type is Full-time.",India · 2 days ago · Over 100 applicants,India,IT Services and IT Consulting 51-200 employees 71 on LinkedIn
Python Developer (Fresher Graduate),Clinchfactor Solutions,51-200 employees,"7,255 followers",Remote,"Bengaluru East, Karnataka, India · 2 days ago · Over 100 applicants","Bengaluru East, Karnataka, India","Technology, Information and Internet 51-200 employees 6 on LinkedIn"
Data Analytics Intern,Unified Mentor,51-200 employees,"42,052 followers",Internship,India · 3 hours ago · 25 applicants,India,E-Learning Providers 51-200 employees 322 on LinkedIn
"Database Engineer, Cloud SQL Server",Google,"10,001+ employees","33,255,116 followers","Full-time
Matches your job preferences, job type is Full-time.","Bengaluru, Karnataka, India · Reposted 2 weeks ago · Over 100 applicants","Bengaluru, Karnataka, India","Software Development 10,001+ employees 286,674 on LinkedIn"
Data Scientist,Jio Platforms Limited (JPL),51-200 employees,"122,837 followers","Full-time
Matches your job preferences, job type is Full-time.","Bengaluru, Karnataka, India · 3 weeks ago · Over 100 applicants","Bengaluru, Karnataka, India","Technology, Information and Internet 51-200 employees 10,357 on LinkedIn"
Machine Learning Engineer,Groww,"501-1,000 employees","481,845 followers","Full-time
Matches your job preferences, job type is Full-time.","Bengaluru, Karnataka, India · 2 weeks ago · Over 100 applicants","Bengaluru, Karnataka, India","Financial Services 501-1,000 employees 1,911 on LinkedIn"
Data or Business Analyst,AKS ProTalent,11-50 employees,"467,274 followers","Full-time
Matches your job preferences, job type is Full-time.",India · 22 minutes ago · Over 100 applicants,India,Human Resources Services 11-50 employees 101 on LinkedIn
SQL Business Analyst,Tata Consultancy Services,"10,001+ employees","15,234,318 followers","Full-time
Matches your job preferences, job type is Full-time.","Bengaluru, Karnataka, India · 2 weeks ago · Over 100 applicants","Bengaluru, Karnataka, India","IT Services and IT Consulting 10,001+ employees 595,486 on LinkedIn"
Data Analyst,PayPal,"10,001+ employees","1,381,514 followers",NA,"Bengaluru, Karnataka, India · 20 hours ago · Over 100 applicants","Bengaluru, Karnataka, India","Software Development 10,001+ employees 30,604 on LinkedIn"
Data Analyst,Crescent Techservices,51-200 employees,"24,714 followers","Full-time
Matches your job preferences, job type is Full-time.","Bengaluru, Karnataka, India · 1 day ago · Over 100 applicants","Bengaluru, Karnataka, India",IT Services and IT Consulting 51-200 employees 16 on LinkedIn
Python Developer,Tata Consultancy Services,"10,001+ employees","15,234,319 followers","Full-time
Matches your job preferences, job type is Full-time.","Bengaluru, Karnataka, India · Reposted 1 week ago · Over 100 applicants","Bengaluru, Karnataka, India","IT Services and IT Consulting 10,001+ employees 595,486 on LinkedIn"
Data Scientist,,,,NA,"Bengaluru, Karnataka, India · 4 days ago · Over 100 applicants","Bengaluru, Karnataka, India","Machinery Manufacturing 10,001+ employees 52,419 on LinkedIn"
Senior Technology Manager – GRC & Applications,,,,"Full-time
Matches your job preferences, job type is Full-time.","Bengaluru, Karnataka, India · Reposted 1 week ago · Over 100 applicants","Bengaluru, Karnataka, India","Food and Beverage Services 1,001-5,000 employees 2,310 on LinkedIn"
PYTHON DEVELOPERS,NA,NA,NA,"Full-time
Matches your job preferences, job type is Full-time.","Bengaluru, Karnataka, India · 6 hours ago · 17 applicants","Bengaluru, Karnataka, India",NA
Data Analytics Intern,Unified Mentor,51-200 employees,"42,052 followers",Internship,India · 3 hours ago · 6 applicants,India,E-Learning Providers 51-200 employees 322 on LinkedIn
Data Analyst,,"10,001+ employees","1,381,514 followers",NA,"Bengaluru, Karnataka, India · 3 days ago · Over 100 applicants","Bengaluru, Karnataka, India","Software Development 10,001+ employees 30,604 on LinkedIn"
Python Developer,Soul AI,11-50 employees,"8,091 followers",Part-time,India · 1 day ago · Over 100 applicants,India,Software Development 11-50 employees 177 on LinkedIn
Python Developer,Tata Consultancy Services,"10,001+ employees","15,234,319 followers","Full-time
Matches your job preferences, job type is Full-time.","Bengaluru, Karnataka, India · 1 week ago · Over 100 applicants","Bengaluru, Karnataka, India","IT Services and IT Consulting 10,001+ employees 595,486 on LinkedIn"
Data Engineer,Tata Consultancy Services,"10,001+ employees","15,234,319 followers","Full-time
Matches your job preferences, job type is Full-time.","Bengaluru, Karnataka, India · 4 weeks ago · Over 100 applicants","Bengaluru, Karnataka, India","IT Services and IT Consulting 10,001+ employees 595,486 on LinkedIn"
Business Analyst,Northern Trust,"10,001+ employees","475,716 followers","Full-time
Matches your job preferences, job type is Full-time.","Bengaluru, Karnataka, India · Reposted 1 week ago · Over 100 applicants","Bengaluru, Karnataka, India","Financial Services 10,001+ employees 27,613 on LinkedIn"
Junior Database Administrator (Fresher),ConsultBae Jobs,51-200 employees,"85,461 followers","Full-time
Matches your job preferences, job type is Full-time.",India · 6 days ago · Over 100 applicants,India,IT Services and IT Consulting 51-200 employees 71 on LinkedIn
Solution Architect,Ather Energy,"1,001-5,000 employees","465,857 followers","Full-time
Matches your job preferences, job type is Full-time.","Bengaluru, Karnataka, India · 2 weeks ago · Over 100 applicants","Bengaluru, Karnataka, India","Motor Vehicle Manufacturing 1,001-5,000 employees 2,585 on LinkedIn"
Business Development Lead Advance Market,Biocon Biologics,"5,001-10,000 employees","409,598 followers","Full-time
Matches your job preferences, job type is Full-time.","Bengaluru, Karnataka, India · 3 weeks ago · Over 100 applicants","Bengaluru, Karnataka, India","Biotechnology Research 5,001-10,000 employees 4,336 on LinkedIn"
Data Analytics Intern,Unified Mentor,51-200 employees,"42,052 followers",Internship,India · 3 hours ago · 8 applicants,India,E-Learning Providers 51-200 employees 322 on LinkedIn
Data Scientist,"Sunrise Systems, Inc.","501-1,000 employees","107,753 followers",Contract,"Bengaluru, Karnataka, India · 2 days ago · Over 100 applicants","Bengaluru, Karnataka, India","IT Services and IT Consulting 501-1,000 employees 535 on LinkedIn"
Full Stack Engineer,Apica,51-200 employees,"11,194 followers","Full-time
Matches your job preferences, job type is Full-time.","Bengaluru, Karnataka, India · 2 months ago · Over 100 applicants","Bengaluru, Karnataka, India",Software Development 51-200 employees 66 on LinkedIn
Data and Analytics Support Engineer,Norstella,"1,001-5,000 employees","34,558 followers","Full-time
Matches your job preferences, job type is Full-time.",India · 2 days ago · Over 100 applicants,India,"Information Services 1,001-5,000 employees 407 on LinkedIn"
Analyst,Wishup.co,201-500 employees,"95,561 followers","Full-time
Matches your job preferences, job type is Full-time.",India · 4 hours ago · 21 applicants,India,Business Consulting and Services 201-500 employees 327 on LinkedIn
"AI Data Scientist, AI Safety Protection",Google,"10,001+ employees","33,255,124 followers","Full-time
Matches your job preferences, job type is Full-time.","Bengaluru, Karnataka, India · Reposted 2 weeks ago · Over 100 applicants","Bengaluru, Karnataka, India","Software Development 10,001+ employees 286,674 on LinkedIn"
Engineering Analyst,Google,"10,001+ employees","33,255,124 followers","Full-time
Matches your job preferences, job type is Full-time.","Bengaluru, Karnataka, India · Reposted 1 week ago · Over 100 applicants","Bengaluru, Karnataka, India","Software Development 10,001+ employees 286,674 on LinkedIn"
Data Scientist,LSEG (London Stock Exchange Group),"10,001+ employees","382,005 followers","Full-time
Matches your job preferences, job type is Full-time.","Bengaluru East, Karnataka, India · 1 week ago · Over 100 applicants","Bengaluru East, Karnataka, India","Financial Services 10,001+ employees 20,399 on LinkedIn"
Analyst,dentsu,"10,001+ employees","1,294,120 followers","Full-time
Matches your job preferences, job type is Full-time.",Greater Bengaluru Area · 3 hours ago · 31 applicants,Greater Bengaluru Area,"Advertising Services 10,001+ employees 15,034 on LinkedIn"
Data Analyst 1,Epsilon India,"1,001-5,000 employees","397,433 followers","Full-time
Matches your job preferences, job type is Full-time.","Bengaluru, Karnataka, India · 1 week ago · Over 100 applicants","Bengaluru, Karnataka, India","Advertising Services 1,001-5,000 employees 1,374 on LinkedIn"
Data Engineer,Rojgar Connection,51-200 employees,219 followers,Mid-Senior level,"Bengaluru, Karnataka, India · 3 hours ago · 1 applicant","Bengaluru, Karnataka, India",Staffing and Recruiting 51-200 employees 6 on LinkedIn
Site Reliability Engineer,5paisa,"501-1,000 employees","49,172 followers","Full-time
Matches your job preferences, job type is Full-time.","Bengaluru, Karnataka, India · 2 days ago · Over 100 applicants","Bengaluru, Karnataka, India","Financial Services 501-1,000 employees 765 on LinkedIn"
Data Engineer,sliQue Robotics,11-50 employees,"14,868 followers","Full-time
Matches your job preferences, job type is Full-time.","Bengaluru, Karnataka, India · 2 days ago · Over 100 applicants","Bengaluru, Karnataka, India",Software Development 11-50 employees 8 on LinkedIn
Data Analyst 2,myGwork - LGBTQ+ Business Community,11-50 employees,"140,562 followers",Entry level,"Bengaluru, Karnataka, India · 1 week ago · Over 100 applicants","Bengaluru, Karnataka, India","Technology, Information and Internet 11-50 employees 149 on LinkedIn"
Data Analyst,Fresh Prints,201-500 employees,"57,159 followers","Full-time
Matches your job preferences, job type is Full-time.",India · 1 week ago · Over 100 applicants,India,"Retail Apparel and Fashion 201-500 employees 1,049 on LinkedIn"
Data Analyst,Masai,201-500 employees,"87,507 followers","On-site
Matches your job preferences, workplace type is On-site.","Bengaluru, Karnataka, India · 19 hours ago · Over 100 applicants","Bengaluru, Karnataka, India",Higher Education 201-500 employees 704 on LinkedIn
Data Engineer,Tata Consultancy Services,"10,001+ employees","15,234,329 followers","Full-time
Matches your job preferences, job type is Full-time.",Greater Bengaluru Area · 3 weeks ago · Over 100 applicants,Greater Bengaluru Area,"IT Services and IT Consulting 10,001+ employees 595,486 on LinkedIn"
Data Engineer Intern,,201-500 employees,"88,098 followers","Full-time
Matches your job preferences, job type is Full-time.","Bengaluru, Karnataka, India · 4 weeks ago · Over 100 applicants","Bengaluru, Karnataka, India",Financial Services 201-500 employees 523 on LinkedIn
Salesforce Architect,Wissen Infotech,"5,001-10,000 employees","69,734 followers","Full-time
Matches your job preferences, job type is Full-time.","Bengaluru, Karnataka, India · Reposted 1 month ago · Over 100 applicants","Bengaluru, Karnataka, India","IT Services and IT Consulting 5,001-10,000 employees 2,000 on LinkedIn"
Associate Data Engineer,Tech Mahindra,"10,001+ employees","6,057,167 followers","Full-time
Matches your job preferences, job type is Full-time.",Greater Bengaluru Area · 3 weeks ago · Over 100 applicants,Greater Bengaluru Area,"IT Services and IT Consulting 10,001+ employees 161,960 on LinkedIn"
Healthcare Data Analyst,Infosys,"10,001+ employees","8,892,891 followers","Full-time
Matches your job preferences, job type is Full-time.","Bengaluru East, Karnataka, India · Reposted 2 days ago · Over 100 applicants","Bengaluru East, Karnataka, India","IT Services and IT Consulting 10,001+ employees 314,638 on LinkedIn"
Data Scientist,myGwork - LGBTQ+ Business Community,11-50 employees,"140,562 followers",Entry level,"Bengaluru, Karnataka, India · 1 day ago · 53 applicants","Bengaluru, Karnataka, India","Technology, Information and Internet 11-50 employees 149 on LinkedIn"
Python Developer,Tata Consultancy Services,"10,001+ employees","15,234,334 followers","Full-time
Matches your job preferences, job type is Full-time.","Bengaluru, Karnataka, India · 2 days ago · Over 100 applicants","Bengaluru, Karnataka, India","IT Services and IT Consulting 10,001+ employees 595,486 on LinkedIn"
Data Scientist,Jio,"10,001+ employees","1,133,607 followers","Full-time
Matches your job preferences, job type is Full-time.","Bengaluru East, Karnataka, India · 3 days ago · Over 100 applicants","Bengaluru East, Karnataka, India","Telecommunications 10,001+ employees 65,823 on LinkedIn"
Data Scientist,Travel Centric Technology,51-200 employees,680 followers,"Full-time
Matches your job preferences, job type is Full-time.","Bengaluru, Karnataka, India · 6 hours ago · 12 applicants","Bengaluru, Karnataka, India",IT Services and IT Consulting 51-200 employees 22 on LinkedIn
Data Scientist,Digimoksha Solutions,11-50 employees,"2,773 followers","Full-time
Matches your job preferences, job type is Full-time.","Bagalur, Karnataka, India · 8 hours ago · 36 applicants","Bagalur, Karnataka, India",IT Services and IT Consulting 11-50 employees 11 on LinkedIn
Team Lead Treasures,DBS Bank,"10,001+ employees","936,696 followers","Full-time
Matches your job preferences, job type is Full-time.","Bangalore Urban, Karnataka, India · 4 weeks ago · Over 100 applicants","Bangalore Urban, Karnataka, India","Banking 10,001+ employees 34,539 on LinkedIn"
Implementation Manager,Xoxoday (by Giift),201-500 employees,"50,023 followers","Full-time
Matches your job preferences, job type is Full-time.","Bengaluru, Karnataka, India · 1 week ago · Over 100 applicants","Bengaluru, Karnataka, India",Software Development 201-500 employees 473 on LinkedIn
Data Scientist,redBus,"501-1,000 employees","312,210 followers","Full-time
Matches your job preferences, job type is Full-time.","Bengaluru, Karnataka, India · 3 weeks ago · Over 100 applicants","Bengaluru, Karnataka, India","Technology, Information and Internet 501-1,000 employees 1,639 on LinkedIn"
Trainee Business Analyst,Just Energy India,201-500 employees,"1,314 followers","Full-time
Matches your job preferences, job type is Full-time.","Bengaluru, Karnataka, India · 1 week ago · Over 100 applicants","Bengaluru, Karnataka, India",Services for Renewable Energy 201-500 employees 64 on LinkedIn
Business Analyst,ConsultBae Jobs,51-200 employees,"85,479 followers",Remote,India · 1 day ago · Over 100 applicants,India,IT Services and IT Consulting 51-200 employees 71 on LinkedIn
"Junior, Data Scientist",Hudson's Bay Company India,"1,001-5,000 employees","8,108 followers",Entry level,"Bengaluru, Karnataka, India · 4 days ago · Over 100 applicants","Bengaluru, Karnataka, India","Retail 1,001-5,000 employees 65 on LinkedIn"
PYTHON DEVELOPER,NA,NA,NA,"Full-time
Matches your job preferences, job type is Full-time.","Bengaluru, Karnataka, India · 6 hours ago · 15 applicants","Bengaluru, Karnataka, India",NA
